Animal,Date,Location,Session,Notes,More Notes
Marble24,11/29/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181129_2_fcbox,2,Shock Box Day 1,
Marble24,11/30/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181130_1_openfield,1,Open field Day 2,
Marble24,11/30/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181130_2_fcbox,2,Shock Box Day 2,
Marble24,12/5/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181205_1_openfield,1,Open field Day 7,
Marble24,12/5/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181205_2_fcbox,2,Shock Box Day 7,
Marble27,1/28/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190128_1,1,Open field Day -2,
Marble27,1/28/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190128_2,2,Shock Box Day -2,
Marble27,1/29/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190129_1,1,Open field Day -1,
Marble27,1/29/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190129_2,2,Shock Box Day -1,
Marble27,1/30/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190130_1,1,Open field Day 0,
Marble27,1/30/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190130_2,2,Shock Box Day 0,
Marble27,1/30/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190130_3,3,Open field  4hr,
Marble27,1/30/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190130_4,4,Shock Box  4hr,
Marble27,1/31/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190131_1,1,Open field Day 1,
Marble27,1/31/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190131_2,2,Shock Box Day 1,
Marble27,2/1/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190201_1,1,Open field Day 2,
Marble27,2/1/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190201_2,2,Shock Box Day 2,
Marble27,2/6/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190206_1,1,Open field Day 7,
Marble27,2/6/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble27/20190206_2,2,Shock Box Day 7,
